1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
11476, And the winner by KO... MATHEW GOMEZ, 1-3-2, 2-4-1
11477, And the winner by KO... THADDEUS JENKINS, 3-2-0, 0-1-1
11478, And the winner by KO... GORDON RICHARDS, 1-3-2, 3-5-0
11479, And the winner by KO... THADDEUS HALL, 4-3-2, 2-6-1
11480, And the winner by KO... ELTON GREENE, 2-2-1, 3-1-3
11481, And the winner by KO... VALENTIN PETERSON, 1-1-0, 4-2-0
11482, It's a Draw!!, 2-3-2, 2-3-1
11483, And the winner by KO... JOHNNIE WILLIS, 3-3-2, 3-1-0
11484, And the winner by KO... RILEY VASQUEZ, 1-2-0, 8-2-1
11485, And the winner by KO... LEO THOMPSON, 2-4-1, 4-2-2
11486, And the winner by KO... EVERETT WRIGHT, 1-2-1, 3-2-1
11487, And the winner by KO... BRIAN WHITE, 3-2-0, 3-3-1
11488, And the winner by KO... EFREN FOX, 4-3-1, 3-4-0
11489, And the winner by KO... DION GILBERT, 3-2-0, 2-1-1
11490, And the winner by KO... ROCCO SIMMONS, 7-4-1, 1-1-0
11491, And the winner by KO... DARELL BARNES, 6-2-1, 4-3-2
11492, And the winner by KO... JULES SOTO, 2-2-1, 2-3-3
11493, And the winner by KO... DOMINIC STEVENS, 1-2-1, 6-8-2
11494, And the winner by KO... RIGOBERTO RICHARDS, 4-6-0, 3-5-1
11495, And the winner by KO... QUENTIN ARNOLD, 1-1-2, 6-4-0
11496, And the winner by KO... BERNIE GRANT, 3-1-2, 1-4-1
11497, And the winner by KO... DEMARCUS DEROUIN, 5-3-0, 3-4-2
11498, And the winner by KO... CASEY BANKS, 3-2-1, 3-3-2
11499, And the winner by KO... WILFORD GONZALEZ, 3-0-3, 3-5-0
11500, It's a Draw!!, 2-2-2, 2-3-1
11501, And the winner by KO... GILBERTO OWENS, 2-3-0, 3-0-1
11502, It's a Draw!!, 2-2-3, 1-3-2
11503, And the winner by KO... THEO TERRY, 1-2-2, 2-3-3
11504, It's a Draw!!, 2-3-1, 1-1-2
11505, And the winner by KO... ROLF GILBERT, 3-1-1, 2-1-0
11506, And the winner by KO... GERALD JACOBS, 3-4-1, 3-3-0
11507, And the winner by KO... KASEY HARVEY, 1-3-1, 4-2-1
11508, And the winner by KO... BEAU BLACK, 2-3-1, 2-1-0
11509, It's a Draw!!, 1-0-1, 2-0-1
11510, And the winner by KO... LEON HOFFMAN, 5-1-2, 2-4-3
11511, And the winner by KO... LUKE PERRY, 3-4-2, 5-2-1
11512, It's a Draw!!, 5-1-2, 5-3-1
11513, And the winner by KO... GORDON DUHAIME, 1-5-1, 2-0-0
11514, And the winner by KO... GUY BUTLER, 2-3-0, 4-4-2
11515, And the winner by KO... GONZALO DEVEAUX, 1-2-2, 2-3-0
11516, It's a Draw!!, 3-0-2, 3-8-1
11517, And the winner by KO... CHARLIE WELCH, 3-2-1, 0-5-3
11518, And the winner by KO... ART MORRISON, 3-3-2, 6-0-1
11519, It's a Draw!!, 3-0-2, 1-1-4
11520, And the winner by KO... LORENZO OLSON, 3-1-3, 1-3-0
11521, And the winner by KO... CHET FULLER, 6-3-1, 3-3-1
11522, And the winner by KO... AL WATSON, 3-2-2, 2-1-2
11523, And the winner by KO... JOHN RAMOS, 6-2-0, 1-2-3
11524, And the winner by KO... KOREY SMITH, 1-2-1, 1-0-0
11525, And the winner by KO... LEONARDO HENRY, 2-4-1, 2-0-1
11526, And the winner by KO... ISIDRO MASON, 1-2-3, 3-2-0
11527, And the winner by KO... MURRAY GILBERT, 2-3-0, 1-7-0
11528, And the winner by KO... FREDERICK BAILEY, 3-3-0, 4-2-0
11529, It's a Draw!!, 0-1-2, 1-2-3
11530, It's a Draw!!, 2-3-2, 1-1-3
11531, And the winner by KO... ROCKY REED, 2-5-0, 2-4-2
11532, And the winner by KO... BRANDON JORDAN, 1-0-1, 1-3-0
11533, And the winner by KO... HARRISON LANE, 5-1-2, 4-3-1
11534, And the winner by KO... ARIEL HOWARD, 1-7-0, 7-3-0
11535, And the winner by KO... GREG CUNNINGHAM, 4-5-1, 2-2-1
11536, It's a Draw!!, 2-3-4, 2-0-1
11537, And the winner by KO... JOHNNIE FIELDS, 3-2-1, 2-2-2
11538, It's a Draw!!, 2-2-4, 1-2-4
11539, And the winner by KO... JULES SOTO, 1-4-1, 3-4-3
11540, And the winner by KO... ALFREDO FOWLER, 2-2-1, 2-4-0
11541, And the winner by KO... LAVERNE PEREZ, 3-5-0, 4-3-0
11542, And the winner by KO... ANDREA SULLIVAN, 1-1-0, 3-4-1
11543, And the winner by KO... ARCHIE AUSTIN, 5-0-1, 0-4-1
11544, It's a Draw!!, 3-2-3, 3-3-3
11545, It's a Draw!!, 3-4-2, 1-0-2
11546, And the winner by KO... MARTIN DAVIS, 7-3-1, 4-2-0
11547, And the winner by KO... MARCUS CUNNINGHAM, 4-5-2, 2-3-1
11548, And the winner by KO... TYSON BERRY, 2-4-1, 2-2-0
11549, And the winner by KO... KORY CARROLL, 4-1-2, 1-2-1
11550, And the winner by KO... JEFF DIAZ, 3-3-0, 0-5-1
11551, It's a Draw!!, 6-1-5, 3-0-1
11552, And the winner by KO... LEO RIVERA, 2-3-1, 3-3-1
11553, And the winner by KO... RANDELL BAILEY, 2-3-2, 1-0-1
11554, And the winner by KO... BRADY VASQUEZ, 0-2-3, 2-0-3
11555, And the winner by KO... ELVIN HARRISON, 3-6-0, 3-2-2
11556, And the winner by KO... LACY JENKINS, 3-3-2, 2-3-0
11557, And the winner by KO... TAD PRICE, 2-2-0, 1-1-1
11558, It's a Draw!!, 0-0-1, 2-1-3
11559, And the winner by KO... KELLEY SULLIVAN, 2-0-3, 2-1-1
11560, And the winner by KO... COY DELPINO, 5-2-0, 5-4-0
11561, And the winner by KO... LEONARDO DESAUTELS, 2-7-0, 0-3-0
11562, And the winner by KO... SAMUAL MARTIN, 2-3-1, 3-1-0
11563, And the winner by KO... EARNEST BOWMAN, 2-1-3, 1-1-2
11564, It's a Draw!!, 1-1-3, 2-2-3
11565, And the winner by KO... CLEVELAND SCHMIDT, 3-3-0, 2-2-2
11566, It's a Draw!!, 2-2-2, 2-3-2
11567, And the winner by KO... HARRISON PERRY, 5-3-1, 4-4-1
11568, And the winner by KO... JONAS NGUYEN, 2-4-0, 4-3-3
11569, And the winner by KO... SAM HARRISON, 4-4-1, 1-6-0
11570, And the winner by KO... DOMINGO EMMICK, 2-5-2, 3-4-2
11571, And the winner by KO... ALEX HUGHES, 3-2-1, 1-3-0
11572, And the winner by KO... CURT FOX, 3-2-1, 3-4-1
11573, And the winner by KO... ARNOLDO RIVERA, 4-0-2, 1-2-1
11574, And the winner by KO... GERALDO GONZALES, 2-2-1, 2-1-0
11575, It's a Draw!!, 4-1-2, 5-3-2
11576, It's a Draw!!, 3-3-1, 2-0-1
11577, And the winner by KO... MAX GREENE, 3-1-1, 1-1-1
11578, And the winner by KO... JOEL BENNETT, 2-3-1, 1-2-1
11579, It's a Draw!!, 2-4-1, 2-3-2
11580, And the winner by KO... JULES FLEMING, 3-3-1, 2-6-1
11581, And the winner by KO... ERIK GIBSON, 2-1-2, 2-2-2
11582, And the winner by KO... LEON MARTIN, 5-2-1, 1-1-0
11583, And the winner by KO... BENNY SMITH, 0-4-0, 3-4-1
11584, And the winner by KO... DAREN COOPER, 2-3-2, 0-5-1
11585, And the winner by KO... JIMMY ENZ, 0-3-2, 8-3-3
11586, And the winner by KO... CODY CRUZ, 6-2-1, 2-4-2
11587, And the winner by KO... WILMER SULLIVAN, 4-3-1, 3-2-1
11588, And the winner by KO... BRICE EAGAR, 4-4-0, 5-4-1
11589, And the winner by KO... ANDY SIMPSON, 0-3-0, 4-3-1
11590, And the winner by KO... ALPHONSO GRIFFIN, 4-2-0, 2-4-0
11591, And the winner by KO... ADRIAN SNYDER, 3-5-0, 1-3-1
11592, And the winner by KO... LUIS DURIO, 5-2-3, 1-4-1
11593, And the winner by KO... ZACHARY DIMERY, 1-1-0, 3-2-0
11594, And the winner by KO... MURRAY SHAW, 2-2-0, 4-4-3
11595, And the winner by KO... AMBROSE BYRD, 2-4-1, 3-1-1
11596, It's a Draw!!, 1-2-2, 1-2-2
11597, And the winner by KO... NOE REYES, 0-3-1, 3-2-2
11598, And the winner by KO... LEO HALL, 3-3-1, 4-5-3
11599, It's a Draw!!, 4-2-1, 0-1-3
11600, And the winner by KO... DON RAY, 5-2-2, 1-2-1
11601, And the winner by KO... WILMER COLLINS, 2-1-1, 1-3-1
11602, And the winner by KO... DARELL TORRES, 7-3-1, 2-1-0
11603, And the winner by KO... PAT FLORES, 1-4-1, 6-4-1
11604, And the winner by KO... ROBBY BYRD, 2-2-1, 4-0-0
11605, And the winner by KO... JERMAINE MILLER, 4-6-0, 2-2-2
11606, And the winner by KO... THANH DAY, 1-1-2, 1-5-1
11607, And the winner by KO... JAIME FORD, 3-1-1, 2-5-1
11608, And the winner by KO... DARON DOUTT, 1-1-0, 3-5-2
11609, And the winner by KO... JED PERRY, 3-2-0, 0-1-1
11610, And the winner by KO... ROSENDO DELPINO, 3-3-0, 1-2-1
11611, And the winner by KO... MOSHE DUENES, 2-5-0, 3-2-1
11612, And the winner by KO... BURL PRICE, 3-2-0, 3-4-3
11613, And the winner by KO... ALLAN SHAW, 3-3-1, 3-3-0
11614, It's a Draw!!, 0-2-4, 1-1-1
11615, And the winner by KO... GENARO HENRY, 3-5-0, 0-4-2
11616, And the winner by KO... DEANGELO GUTIERREZ, 3-2-3, 5-2-1
11617, And the winner by KO... CURT FOX, 4-2-1, 2-4-2
11618, And the winner by KO... OTTO FREEMAN, 2-1-1, 2-1-1
11619, And the winner by KO... ZANE SHAW, 2-2-1, 2-2-2
11620, And the winner by KO... THADDEUS JENKINS, 4-2-0, 1-3-0
11621, And the winner by KO... WINFRED EGGLETON, 5-5-0, 1-3-0
11622, And the winner by KO... RUSSEL JORDAN, 0-4-3, 3-6-1
11623, And the winner by KO... THADDEUS HALL, 5-3-2, 1-4-0
11624, And the winner by KO... EDWARD MORRISON, 2-1-0, 4-1-0
11625, And the winner by KO... JIM WARREN, 2-4-4, 2-1-1
11626, And the winner by KO... COLUMBUS RAY, 2-1-1, 2-4-3
11627, And the winner by KO... FREDERIC BLACK, 2-4-1, 5-4-0
11628, It's a Draw!!, 1-2-2, 2-1-2
11629, And the winner by KO... NICOLAS COLLINS, 3-2-0, 3-1-1
11630, And the winner by KO... BRIAN WHITE, 4-3-1, 4-3-2
11631, It's a Draw!!, 3-3-2, 2-4-2
11632, And the winner by KO... CHUCK ENZ, 3-1-2, 3-1-2
11633, And the winner by KO... GILBERTO MCCOY, 2-1-0, 1-2-4
11634, And the winner by KO... PERRY KING, 2-2-1, 2-5-2
11635, And the winner by KO... ALAN WRIGHT, 4-1-0, 0-3-2
11636, And the winner by KO... TAYLOR FARQUHARSON, 2-1-3, 4-5-3
11637, And the winner by KO... KASEY HARVEY, 5-2-1, 5-2-2
11638, It's a Draw!!, 2-4-1, 1-3-2
11639, It's a Draw!!, 0-2-1, 2-4-1
11640, It's a Draw!!, 4-5-1, 2-1-1
11641, It's a Draw!!, 1-1-1, 4-3-2
11642, It's a Draw!!, 3-2-1, 1-2-3
11643, It's a Draw!!, 2-0-3, 3-5-1
11644, It's a Draw!!, 2-3-1, 2-2-2
11645, And the winner by KO... DEMARCUS DEROUIN, 4-6-2, 6-3-0
11646, And the winner by KO... ARCHIE CRAWFORD, 4-4-0, 5-2-0
11647, And the winner by KO... WALDO DIXON, 3-2-0, 3-0-1
11648, It's a Draw!!, 1-0-2, 2-3-3
11649, It's a Draw!!, 6-0-3, 2-2-3
11650, And the winner by KO... HARRISON LANE, 2-2-2, 6-1-2
11651, And the winner by KO... GABRIEL FITZHENRY, 2-2-0, 6-1-0
11652, It's a Draw!!, 2-0-2, 3-2-3
11653, And the winner by KO... ARIEL DONATHAN, 3-4-0, 2-3-0
11654, And the winner by KO... GRADY CHAPMAN, 4-1-1, 2-1-3
11655, It's a Draw!!, 0-2-1, 3-5-1
11656, And the winner by KO... VALENTIN PETERSON, 5-2-0, 4-1-3
11657, And the winner by KO... LYNN FIELDS, 2-2-0, 2-2-3
11658, It's a Draw!!, 4-4-2, 2-5-1
11659, And the winner by KO... MOSE ALEXANDER, 3-4-2, 4-0-0
11660, It's a Draw!!, 5-2-2, 1-0-4
11661, And the winner by KO... SCOTTY DESNOYERS, 3-4-0, 3-5-2
11662, It's a Draw!!, 2-0-4, 4-2-1
11663, And the winner by KO... EZRA POWELL, 4-2-0, 3-3-0
11664, And the winner by KO... ERIC EISMAN, 1-5-1, 5-2-1
11665, And the winner by KO... KENT GRAHAM, 4-3-1, 3-2-2
11666, And the winner by KO... JEFF DIAZ, 1-3-1, 4-3-0
11667, It's a Draw!!, 2-2-1, 0-1-1
11668, And the winner by KO... ANGEL RAMOS, 3-1-1, 3-2-0
11669, And the winner by KO... ISMAEL SPENCER, 2-0-1, 3-2-3
11670, And the winner by KO... BRUNO ALVAREZ, 1-1-1, 1-1-0
11671, It's a Draw!!, 4-1-1, 3-6-1
11672, It's a Draw!!, 2-2-2, 3-4-2
11673, And the winner by KO... LOYD PIERCE, 3-5-3, 2-2-1
11674, And the winner by KO... WM HERNANDEZ, 5-4-2, 4-0-0
11675, And the winner by KO... CHAD MITCHELL, 0-5-3, 3-1-0
11676, It's a Draw!!, 1-0-2, 3-1-1
11677, And the winner by KO... ABDUL LEWIS, 2-1-2, 2-3-0
11678, And the winner by KO... NAPOLEON MEDINA, 3-3-0, 1-5-1
11679, It's a Draw!!, 1-3-2, 1-4-3
11680, And the winner by KO... COLEMAN LOPEZ, 3-2-0, 2-0-0
11681, And the winner by KO... LUCIO HARVEY, 2-3-1, 2-3-3
11682, And the winner by KO... RUDOLPH DEVALLE, 3-1-0, 1-3-0
11683, And the winner by KO... DESHAWN PALMER, 2-1-3, 0-3-2
11684, And the winner by KO... KOREY CHAVEZ, 3-2-2, 1-1-1
11685, And the winner by KO... DARIO HOLLAND, 2-2-0, 1-3-2
11686, And the winner by KO... LOWELL BAKER, 1-3-2, 4-2-0
11687, It's a Draw!!, 4-5-1, 4-1-4
11688, And the winner by KO... STAN DINGEE, 5-4-1, 4-2-2
11689, And the winner by KO... GAYLE OLIVER, 4-1-1, 5-1-2
11690, And the winner by KO... WALDO DIXON, 4-0-1, 2-3-0
11691, And the winner by KO... HOSEA HERRERA, 3-4-0, 2-0-2
11692, And the winner by KO... NEWTON SOTO, 3-4-2, 2-3-0
11693, And the winner by KO... GINO WATSON, 3-3-0, 1-2-1
11694, And the winner by KO... CURT FOX, 5-2-1, 1-1-4
11695, And the winner by KO... JEFFREY STEWART, 3-2-1, 1-4-0
11696, And the winner by KO... REGINALD FREEMAN, 4-0-1, 3-3-1
11697, And the winner by KO... KERRY BANKS, 2-1-1, 3-5-1
11698, It's a Draw!!, 2-1-2, 1-2-2
11699, And the winner by KO... JESUS WEST, 3-2-3, 5-2-2
11700, And the winner by KO... DOMINIC TORRES, 3-3-0, 3-6-2
11701, And the winner by KO... WILLARD WOODS, 2-2-2, 1-2-0
11702, It's a Draw!!, 4-0-2, 6-1-1
11703, It's a Draw!!, 2-2-1, 2-0-3
11704, And the winner by KO... TYRON HUGHES, 4-3-0, 2-2-1
11705, And the winner by KO... ABEL DEVEAUX, 2-1-1, 2-4-1
11706, And the winner by KO... DARRICK WRIGHT, 4-6-0, 2-2-1
11707, It's a Draw!!, 1-0-1, 4-1-4
11708, And the winner by KO... CARMEN ARNOLD, 5-2-1, 1-2-1
11709, And the winner by KO... OLIVER DUNWOODY, 2-2-0, 1-2-2
11710, And the winner by KO... ERIC EGGLETON, 3-1-0, 2-4-1
11711, And the winner by KO... JAMISON ROSS, 1-1-1, 1-0-0
11712, And the winner by KO... CLYDE ROBERTS, 1-3-0, 1-1-1
11713, And the winner by KO... WALKER GRIFFIN, 2-1-2, 4-3-0
11714, And the winner by KO... JAE PIERCE, 3-3-3, 2-3-0
11715, It's a Draw!!, 3-3-4, 3-3-2
11716, And the winner by KO... MATT ROBERTSON, 4-1-2, 1-4-3
11717, It's a Draw!!, 2-1-4, 1-4-2
11718, And the winner by KO... STEWART DELPINO, 3-2-0, 3-3-1
11719, And the winner by KO... MITCHELL RODRIGUEZ, 2-3-1, 2-0-0
11720, It's a Draw!!, 2-0-1, 2-3-2
11721, And the winner by KO... DANIAL KING, 6-2-1, 4-1-0
11722, And the winner by KO... CHANCE CARR, 1-3-1, 4-8-1
11723, And the winner by KO... RUBIN RAMIREZ, 1-4-1, 4-1-1
11724, And the winner by KO... LYNDON GONZALES, 1-3-1, 2-0-2
11725, And the winner by KO... DALTON RUSSELL, 2-2-2, 5-0-1
11726, And the winner by KO... GREGG HAYES, 3-2-1, 2-3-1
11727, It's a Draw!!, 5-2-3, 1-3-1
11728, And the winner by KO... BROCK ANDREWS, 1-2-1, 2-4-1
11729, And the winner by KO... SHON ALVAREZ, 3-2-1, 4-4-2
11730, It's a Draw!!, 0-1-1, 4-0-2
11731, And the winner by KO... ROCKY REED, 3-4-2, 4-4-2
11732, And the winner by KO... CLAYTON ROBERTSON, 5-3-2, 1-1-2
11733, And the winner by KO... GUSTAVO RYAN, 3-2-1, 2-2-3
11734, And the winner by KO... REY MOORE, 0-3-2, 2-7-0
11735, It's a Draw!!, 1-0-2, 6-2-2
11736, And the winner by KO... FREDDY CASTILLO, 2-4-3, 4-1-1
11737, And the winner by KO... WILMER SULLIVAN, 4-3-1, 0-4-2
11738, And the winner by KO... KENDRICK DUHAIME, 4-2-1, 0-3-1
11739, And the winner by KO... REGGIE ROSS, 3-3-4, 1-2-1
11740, And the winner by KO... CHANCE GONZALES, 3-6-1, 7-1-5
11741, And the winner by KO... ROSENDO DELPINO, 3-4-1, 4-3-0
11742, And the winner by KO... COLBY HANSEN, 2-1-0, 3-4-1
11743, And the winner by KO... ARON GRANT, 2-4-0, 3-2-3
11744, It's a Draw!!, 0-1-1, 3-3-2
11745, And the winner by KO... JOHNNY RUIZ, 1-0-2, 2-4-0
11746, And the winner by KO... SON DENMON, 3-4-0, 9-1-1
11747, And the winner by KO... TITUS RIVERA, 4-1-1, 0-4-1
11748, And the winner by KO... FLORENTINO HART, 2-3-1, 4-3-1
11749, And the winner by KO... RUSTY JACKSON, 3-2-1, 3-4-1
11750, It's a Draw!!, 1-0-1, 1-3-1
11751, It's a Draw!!, 2-3-1, 2-3-1
11752, And the winner by KO... MOSE ROBINSON, 1-0-1, 1-2-2
11753, And the winner by KO... SAMMY HENRY, 0-2-1, 4-3-1
11754, And the winner by KO... TOM WRIGHT, 4-3-1, 3-1-2
11755, And the winner by KO... DEMARCUS DEROUIN, 4-2-3, 7-3-0
11756, And the winner by KO... ARTURO SOTO, 3-3-2, 1-5-0
11757, And the winner by KO... AUGUST FERNANDEZ, 1-3-2, 1-5-1
11758, And the winner by KO... IGNACIO HICKS, 1-4-1, 4-1-1
11759, And the winner by KO... ALBERTO WALTERS, 3-3-1, 0-1-0
11760, And the winner by KO... DWIGHT MEDINA, 3-1-3, 2-3-0
11761, And the winner by KO... COLEMAN LOPEZ, 3-1-1, 3-0-0
11762, It's a Draw!!, 1-0-1, 1-1-2
11763, And the winner by KO... FELTON DAVIS, 2-2-2, 2-4-1
11764, And the winner by KO... LEO RIVERA, 4-4-1, 2-4-1
11765, And the winner by KO... JORDAN FOWLER, 5-1-2, 1-4-2
11766, It's a Draw!!, 4-1-3, 3-2-2
11767, And the winner by KO... IGNACIO HICKS, 4-4-2, 5-1-1
11768, And the winner by KO... DARNELL BOYD, 5-3-1, 3-3-2
11769, And the winner by KO... GARTH KELLEY, 3-4-2, 0-2-0
11770, It's a Draw!!, 1-4-1, 3-4-3
11771, And the winner by KO... PAT ROSE, 5-2-2, 3-3-1
11772, And the winner by KO... BRAIN DAVIS, 2-2-1, 2-4-3
11773, And the winner by KO... NICOLAS KIM, 1-2-1, 4-4-0
11774, And the winner by KO... MANUAL HUGHES, 1-3-2, 5-2-1
11775, And the winner by KO... MOSHE DUENES, 1-2-1, 4-2-1
11776, And the winner by KO... CARLO SCOTT, 2-2-3, 3-5-1
11777, And the winner by KO... ABRAHAM BRADLEY, 2-3-4, 3-4-3
11778, And the winner by KO... LEO RIVERA, 2-5-0, 5-4-1
11779, And the winner by KO... REID KELLEY, 3-2-1, 1-1-1
11780, It's a Draw!!, 3-2-3, 3-3-1
11781, And the winner by KO... EMANUEL BRYANT, 3-0-0, 2-3-2
11782, And the winner by KO... SANTOS EKKER, 0-1-1, 4-3-0
11783, And the winner by KO... ROSS FRAZIER, 2-1-3, 2-2-0
11784, And the winner by KO... BARNEY EDDINGER, 2-4-0, 2-1-0
11785, It's a Draw!!, 1-3-3, 6-1-2
11786, It's a Draw!!, 2-2-2, 4-3-1
11787, And the winner by KO... JAVIER HANSON, 3-5-0, 3-1-2
11788, And the winner by KO... CLEVELAND SCHMIDT, 3-4-0, 4-3-0
11789, And the winner by KO... ANDREAS CHAPMAN, 2-3-1, 4-3-4
11790, And the winner by KO... THANH DAY, 2-1-2, 3-2-0
11791, It's a Draw!!, 4-1-2, 3-4-2
11792, And the winner by KO... HARLEY DEMSKI, 4-1-1, 5-2-1
11793, It's a Draw!!, 3-5-4, 4-3-2
11794, And the winner by KO... WILMER COLLINS, 3-1-1, 2-5-1
11795, And the winner by KO... HOYT TURNER, 0-3-2, 3-1-1
11796, And the winner by KO... FELIPE HART, 0-3-0, 2-1-1
11797, And the winner by KO... ANDREAS CHAPMAN, 1-1-2, 5-3-4
11798, And the winner by KO... LAWERENCE SULLIVAN, 1-1-1, 0-4-0
11799, And the winner by KO... KENNY PALMER, 2-2-1, 4-4-1
11800, And the winner by KO... FELTON DAVIS, 3-5-1, 2-3-2
11801, And the winner by KO... DAVE PEREZ, 6-3-1, 2-5-0
11802, It's a Draw!!, 2-3-3, 1-3-1
11803, It's a Draw!!, 3-1-2, 3-4-1
11804, And the winner by KO... PALMER FRANKLIN, 2-4-2, 2-1-1
11805, And the winner by KO... DREW FOSTER, 2-5-2, 3-2-1
11806, And the winner by KO... DREW BROOKS, 2-3-2, 3-2-1
11807, And the winner by KO... CARTER LAWSON, 1-1-4, 1-3-2
11808, And the winner by KO... JONAS NGUYEN, 3-6-2, 5-3-3
11809, And the winner by KO... COLEMAN WILLIS, 1-2-0, 1-0-2
11810, It's a Draw!!, 2-5-2, 5-3-2
11811, And the winner by KO... ROBBY DEAN, 2-1-3, 3-2-1
11812, And the winner by KO... PALMER SILVA, 4-2-0, 2-4-0
11813, It's a Draw!!, 3-1-2, 5-3-4
11814, And the winner by KO... JAE PIERCE, 1-2-0, 4-3-3
11815, And the winner by KO... RANDELL BAILEY, 0-4-3, 2-0-1
11816, And the winner by KO... JON JORDAN, 5-1-2, 4-5-0
11817, And the winner by KO... EMERSON TAYLOR, 2-4-1, 3-5-1
11818, It's a Draw!!, 1-3-1, 5-2-2
11819, And the winner by KO... PALMER SILVA, 2-1-0, 5-2-0
11820, And the winner by KO... ANDREA DEROUIN, 1-2-1, 3-2-2
11821, And the winner by KO... VINCENZO STEPHENS, 3-4-1, 2-1-0
11822, It's a Draw!!, 4-4-3, 3-2-2
11823, And the winner by KO... NORBERTO MASON, 4-3-2, 2-5-0
11824, And the winner by KO... JORDAN MATTHEWS, 1-3-1, 4-3-2
11825, And the winner by KO... RYAN DAVIS, 5-1-1, 6-2-0
11826, It's a Draw!!, 4-5-4, 4-1-2
11827, And the winner by KO... SAMMIE FULLER, 3-4-1, 2-3-2
11828, And the winner by KO... JACKIE ALEXANDER, 1-6-2, 1-5-3
11829, And the winner by KO... DALE POWELL, 3-2-3, 2-4-3
11830, And the winner by KO... DUSTY STEWART, 2-2-1, 3-4-3
11831, And the winner by KO... KELVIN DELUCCA, 5-1-1, 1-3-0
11832, And the winner by KO... SAMUAL SULLIVAN, 2-3-0, 3-4-0
11833, And the winner by KO... LEON RAMOS, 3-2-2, 2-3-1
11834, It's a Draw!!, 2-2-2, 2-1-2
11835, And the winner by KO... SHERWOOD DUENES, 3-1-1, 5-3-2
11836, And the winner by KO... GILBERTO OWENS, 4-0-1, 2-5-1
11837, And the winner by KO... ARIEL DONATHAN, 4-4-0, 3-1-0
11838, And the winner by KO... ANDREA SULLIVAN, 3-3-0, 2-1-0
11839, And the winner by KO... FLORENCIO FITZHENRY, 1-5-0, 3-7-2
11840, It's a Draw!!, 3-4-2, 0-4-1
11841, And the winner by KO... CAMERON MATTHEWS, 4-2-1, 4-4-0
11842, And the winner by KO... CHANCE CARR, 5-8-1, 3-1-2
11843, And the winner by KO... COLBY HANSEN, 3-1-0, 3-1-0
11844, And the winner by KO... MARSHALL PIERCE, 1-2-1, 1-2-0
11845, And the winner by KO... DERRICK NGUYEN, 3-5-1, 3-4-1
11846, It's a Draw!!, 2-4-1, 2-0-2
11847, And the winner by KO... SETH MORALES, 3-5-1, 4-0-0
11848, It's a Draw!!, 5-2-3, 1-1-1
11849, It's a Draw!!, 4-1-1, 0-2-2
11850, It's a Draw!!, 5-2-3, 1-2-2
11851, And the winner by KO... ZACHARY RAY, 2-4-0, 1-1-1
11852, And the winner by KO... HARVEY STANLEY, 2-2-2, 3-3-3
11853, And the winner by KO... DICK FITZHENRY, 3-4-0, 1-2-0
11854, And the winner by KO... KOREY CHAVEZ, 2-1-1, 2-2-3
11855, And the winner by KO... BRYANT BURTON, 5-3-2, 2-1-0
11856, And the winner by KO... FREDDIE OLSON, 3-0-1, 2-5-1
11857, It's a Draw!!, 2-3-1, 2-2-3
11858, And the winner by KO... ANTONIA MAY, 1-1-0, 2-5-2
11859, And the winner by KO... MICHAL WASHINGTON, 3-4-2, 2-1-1
11860, And the winner by KO... FOREST BANKS, 2-3-0, 4-4-0
11861, And the winner by KO... RASHAD DUHAIME, 2-0-0, 2-4-1
11862, And the winner by KO... ROOSEVELT MORALES, 4-3-0, 2-3-0
11863, And the winner by KO... RICHARD RAMIREZ, 2-1-0, 5-5-0
11864, And the winner by KO... CHANCE CARR, 6-8-1, 3-2-1
11865, And the winner by KO... GREGG HAYES, 2-4-0, 3-3-1
11866, And the winner by KO... RAMON JONES, 2-3-2, 2-2-2
11867, And the winner by KO... VICENTE CRUZ, 5-1-1, 0-5-0
11868, It's a Draw!!, 0-3-2, 1-2-3
11869, And the winner by KO... ALFRED GREENE, 2-3-0, 3-1-0
11870, And the winner by KO... MARSHALL POWELL, 2-2-2, 3-3-0
11871, And the winner by KO... BRADFORD FAIRES, 4-3-0, 2-6-0
11872, And the winner by KO... DESMOND REID, 2-3-0, 1-2-1
11873, And the winner by KO... FERMIN CARLSON, 2-3-0, 4-1-1
11874, And the winner by KO... MICAH DAVIDSON, 3-6-0, 1-3-1
11875, And the winner by KO... SETH MORALES, 3-3-2, 5-0-0
11876, And the winner by KO... ARNOLDO STANLEY, 2-0-0, 1-3-3
11877, And the winner by KO... VAN DEVALLE, 3-1-1, 1-0-1
11878, And the winner by KO... FELIX ALLEN, 2-0-1, 1-3-2
11879, And the winner by KO... ARRON BERRY, 2-0-0, 3-4-1
11880, And the winner by KO... HERBERT DUNCAN, 3-2-3, 3-3-2
11881, And the winner by KO... FLORENCIO FITZHENRY, 5-1-1, 2-5-0
11882, And the winner by KO... FLORENTINO MENDOZA, 3-4-4, 2-4-2
11883, And the winner by KO... CONRAD RUIZ, 3-1-1, 3-5-2
11884, And the winner by KO... JOHNATHAN BENNETT, 0-2-0, 1-0-0
11885, And the winner by KO... TYRON HUGHES, 5-3-1, 3-2-1
11886, And the winner by KO... GEORGE BRADLEY, 4-2-3, 1-1-2
11887, And the winner by KO... EDUARDO LAWSON, 4-1-1, 3-2-0
11888, It's a Draw!!, 2-2-4, 6-2-2
